car_id;car_class_id;team_id;driver_id;name;rating_old
70;77;-54333;238079;Juan Pablo Tanoni;3594
70;77;-54333;72098;Julian Ignacio Longo;3625
70;77;-61124;-61124;IPM Gold;0
70;77;-61124;178694;Benjamin Morton;2283
70;77;-61124;19071;Peter Terrana;1771
70;77;-61124;191758;Enrico Müller2;2135
70;77;-61124;203002;Yusef Rayyan;1613
70;77;-61124;236729;Max Thomas;1012
70;77;-65398;-65398;Can-Am DP Blue;0
70;77;-65398;115722;Brian Green;1124
70;77;-65398;32703;Chris Cable;2314
70;77;-65398;58763;Justin M Wilson;1721
70;77;-69370;-69370;Wolfpack;0
70;77;-69370;258954;Zachary Sears;2408
70;77;-69370;265442;Michael Dix;1870
70;77;-69370;290685;Ryan Bethell;1387
70;77;-69370;323199;Tyler Botma;1945
102;100;-71121;-71121;Racer & Caster;0
102;100;-71121;141137;Manuel Wendel;2144
102;100;-71121;224512;Rene Buttler;1696
72;473;-71658;-71658;Team S M R Engineering by Tequila Patrón;0
72;473;-71658;224388;Charly Morin;2067
102;100;-72423;-72423;BoosTED GREEN;0
102;100;-72423;188557;Stuart Atkinson;1520
102;100;-72423;19037;Simon Field;2928
